central MF                        11677 
left MF                            4937 
right MF                           4781 
left FW-left MF                     131 
right MF-right FW                   116 
central MF-right FW                  99 
central MF-central FW-right FW       71 
right MF-right CB                    62 
central MF-left FW                   59 
left CB-left MF                      72 
right MF-central MF                  28 
right MF-central MF-right CB         15 
central MF-left FW-left MF            5 
central MF-left CB-left MF            5 
central FW                         6864
right CB                           4910
left FW                            4441
left CB                            4330
right FW                           3606
central MF-central FW               235
central MF-right CB                 187
central MF-left CB                  117
central FW-left FW                   87
right CB-left CB                     29
right FW-central FW                  18
right CB-central MF-left CB          15
